date,close,regime,p_bull,exposure,ret,equity,trade
2025-05-01,555.2844,BEAR,0.0,0.0,0.007087,979089.64,HOLD
2025-05-02,563.5271,BEAR,0.0,0.0,0.014844,979089.64,HOLD
2025-05-05,560.2957,BEAR,0.0,0.0,-0.005734,979089.64,HOLD
2025-05-06,555.6125,BEAR,0.0,0.0,-0.008358,979089.64,HOLD
2025-05-07,557.9491,BEAR,0.0,0.0,0.004205,979089.64,HOLD
2025-05-08,561.8368,BEAR,0.0,0.0,0.006968,979089.64,HOLD
2025-05-09,561.121,BEAR,4e-06,0.0,-0.001274,979089.64,HOLD
2025-05-12,579.6646,BEAR,0.0,0.0,0.033047,979089.64,HOLD
2025-05-13,583.4926,BEAR,0.000521,0.0,0.006604,979089.64,HOLD
2025-05-14,584.2383,BEAR,0.00069,0.0,0.001278,979089.64,HOLD
2025-05-15,587.0919,BEAR,0.000752,0.0,0.004884,979089.64,HOLD
2025-05-16,590.8105,BEAR,0.006068,0.0,0.006334,979089.64,HOLD
2025-05-19,591.4568,BEAR,0.009723,0.0,0.001094,979089.64,HOLD
2025-05-20,589.4683,BEAR,0.070217,0.0,-0.003362,979089.64,HOLD
2025-05-21,579.5353,BEAR,0.018854,0.0,-0.016851,979089.64,HOLD
2025-05-22,579.764,BEAR,0.108979,0.0,0.000395,979089.64,HOLD
2025-05-23,575.8066,BEAR,0.318691,0.0,-0.006826,979089.64,HOLD
2025-05-27,587.778,BEAR,0.066436,0.0,0.020791,979089.64,HOLD
2025-05-28,584.3774,BEAR,0.125617,0.0,-0.005785,979089.64,HOLD
2025-05-29,586.6843,BEAR,0.280412,0.0,0.003947,979089.64,HOLD
2025-05-30,586.0281,BEAR,0.500308,0.0,-0.001118,979089.64,HOLD
2025-06-02,589.3291,BEAR,0.704087,0.0,0.005633,979089.64,HOLD
2025-06-03,592.6898,BULL,0.884993,1.0,0.005703,984673.01,BUY
2025-06-04,592.5307,BULL,0.968402,1.0,-0.000268,984408.66,HOLD
2025-06-05,589.6671,BULL,0.989021,1.0,-0.004833,979651.2,HOLD
2025-06-06,595.7224,BULL,0.991972,1.0,0.010269,989711.25,HOLD
2025-06-09,596.2593,BULL,0.996465,1.0,0.000901,990603.28,HOLD
2025-06-10,599.6399,BULL,0.997157,1.0,0.00567,996219.61,HOLD
2025-06-11,597.9297,BULL,0.999394,1.0,-0.002852,993378.44,HOLD
2025-06-12,600.3061,BULL,0.999555,1.0,0.003974,997326.41,HOLD
2025-06-13,593.5946,BULL,0.998471,1.0,-0.01118,986176.19,HOLD
2025-06-16,599.2422,BULL,0.998995,1.0,0.009514,995558.88,HOLD
2025-06-17,594.1216,BULL,0.9988,1.0,-0.008545,987051.8,HOLD
2025-06-18,594.0321,BULL,0.9994,1.0,-0.000151,986903.04,HOLD
2025-06-20,592.637,BULL,0.9994,1.0,-0.002349,984585.2,HOLD
2025-06-23,598.4907,BULL,0.999221,1.0,0.009877,994310.42,HOLD
2025-06-24,605.1024,BULL,0.998979,1.0,0.011047,1005294.85,HOLD
2025-06-25,605.4415,BULL,0.999555,1.0,0.00056,1005858.14,HOLD
2025-06-26,610.1783,BULL,0.999485,1.0,0.007824,1013727.81,HOLD
2025-06-27,613.2099,BULL,0.999592,1.0,0.004968,1018764.32,HOLD
2025-06-30,616.1418,BULL,0.999602,1.0,0.004781,1023635.25,HOLD
2025-07-01,615.9424,BULL,0.999643,1.0,-0.000324,1023303.97,HOLD
2025-07-02,618.7346,BULL,0.99961,1.0,0.004533,1027942.89,HOLD
2025-07-03,623.6111,BULL,0.999483,1.0,0.007881,1036044.47,HOLD
2025-07-07,618.964,BULL,0.999379,1.0,-0.007452,1028323.96,HOLD
2025-07-08,618.6249,BULL,0.999633,1.0,-0.000548,1027760.67,HOLD
2025-07-09,622.3346,BULL,0.999569,1.0,0.005997,1033923.76,HOLD
2025-07-10,624.0898,BULL,0.999636,1.0,0.00282,1036839.76,HOLD
2025-07-11,621.8958,BULL,0.999592,1.0,-0.003515,1033194.78,HOLD
2025-07-14,623.0825,BULL,0.999644,1.0,0.001908,1035166.33,HOLD
2025-07-15,620.4199,BULL,0.999569,1.0,-0.004273,1030742.79,HOLD
2025-07-16,622.4941,BULL,0.999604,1.0,0.003343,1034188.82,HOLD
2025-07-17,626.3036,BULL,0.999515,1.0,0.00612,1040517.7,HOLD
2025-07-18,625.8449,BULL,0.999539,1.0,-0.000732,1039755.67,HOLD
2025-07-21,627.0316,BULL,0.999538,1.0,0.001896,1041727.22,HOLD
2025-07-22,627.1213,BULL,0.999526,1.0,0.000143,1041876.28,HOLD
2025-07-23,632.4566,BULL,0.999208,1.0,0.008508,1050740.09,HOLD
2025-07-24,632.666,BULL,0.999394,1.0,0.000331,1051087.9,HOLD
2025-07-25,635.3386,BULL,0.999349,1.0,0.004224,1055528.07,HOLD
2025-07-28,635.179,BULL,0.999354,1.0,-0.000251,1055263.01,HOLD
2025-07-29,633.5037,BULL,0.99932,1.0,-0.002638,1052479.64,HOLD
