date,swan_ret_overlay,swan_equity_overlay,regime,p_bull,swan_ret_bh,swan_equity_bh,spy_ret_bh,spy_equity_bh
2025-09-11,0.004110,1134794.805298,BULL,0.999400,0.005137,1232738.745144,0.008310,1128784.893507
2025-09-12,-0.007095,1126743.868032,BULL,0.999600,-0.008868,1221806.479838,-0.000335,1128407.224890
2025-09-15,0.005065,1132451.364522,BULL,0.999600,0.006332,1229542.772434,0.005324,1134414.729727
2025-09-16,-0.001188,1131105.536336,BULL,0.999600,-0.001486,1227716.255453,-0.001377,1132852.788975
2025-09-17,-0.000461,1130584.258433,BULL,0.999600,-0.000576,1227009.003416,-0.001242,1131445.382447
2025-09-18,-0.003951,1126117.245728,BULL,0.999600,-0.004939,1220949.011905,0.004672,1136732.007715
2025-09-19,0.006552,1133495.901222,BULL,0.999600,0.008190,1230949.038731,0.004953,1142362.054042
2025-09-22,0.006020,1140319.289900,BULL,0.999500,0.007525,1240211.581857,0.004731,1147766.654792
2025-09-23,-0.008574,1130542.205763,BULL,0.999300,-0.010717,1226919.632520,-0.005444,1141518.681675
2025-09-24,-0.000951,1129467.162654,BULL,0.999400,-0.001189,1225461.270894,-0.003182,1137886.864770
2025-09-25,-0.007386,1121124.602405,BULL,0.999400,-0.009233,1214146.771429,-0.004614,1132637.218460
2025-09-26,0.004043,1125657.038136,BULL,0.999400,0.005053,1220282.398769,0.005729,1139126.185126
2025-09-29,0.002044,1127958.429217,BULL,0.999500,0.002556,1223400.963010,0.002810,1142327.596377
2025-09-30,0.004802,1133374.705095,BULL,0.999500,0.006002,1230744.182575,0.003767,1146630.602378
2025-10-01,0.003827,1137711.798234,BULL,0.999300,0.004783,1236631.304599,0.003408,1150537.765444
2025-10-02,0.002132,1140137.389605,BULL,0.999300,0.002665,1239926.913190,0.001152,1151863.019855
2025-10-03,0.000777,1141023.295117,BULL,0.999200,0.000971,1241131.217707,-0.000015,1151845.896076
2025-10-06,0.004821,1146524.072221,BULL,0.999100,0.006026,1248610.453906,0.003586,1155976.718805
2025-10-07,-0.003400,1142625.951701,BULL,0.999100,-0.004250,1243303.942959,-0.003707,1151690.941637
2025-10-08,0.007978,1151742.100594,BULL,0.999100,0.009973,1255703.171078,0.005963,1158558.522405
2025-10-09,0.000079,1151833.200966,BULL,0.999300,0.000099,1255827.325419,-0.002897,1155202.156714
2025-10-10,-0.018752,1130234.201718,BULL,0.829800,-0.023440,1226390.974050,-0.027028,1123979.625014
2025-10-13,0.010854,1142502.226016,BULL,0.940300,0.013568,1243030.660593,0.015344,1141226.001628
2025-10-14,-0.001832,1140408.891130,BULL,0.995700,-0.002290,1240183.752085,-0.001222,1139831.831886
2025-10-15,0.000112,1140536.729694,BULL,0.999200,0.000140,1240357.531103,0.004440,1144892.171145
2025-10-16,-0.004701,1135175.379319,BULL,0.999100,-0.005876,1233069.305369,-0.006810,1137095.178900
2025-10-17,0.000239,1135446.658445,BULL,0.999400,0.000299,1233437.647092,0.005676,1143549.687901
2025-10-20,0.004976,1141096.600034,BULL,0.998800,0.006220,1241109.573606,0.010400,1155443.150263
2025-10-21,-0.000858,1140117.990243,BULL,0.999400,-0.001072,1239779.096874,-0.000015,1155425.921430
2025-10-22,-0.004057,1135492.590112,BULL,0.999200,-0.005071,1233491.946721,-0.005199,1149418.941862
2025-10-23,0.006720,1143123.654252,BULL,0.999300,0.008401,1243854.031251,0.005930,1156234.941186
2025-10-24,0.006108,1150106.175288,BULL,0.999100,0.007635,1253351.294416,0.008173,1165684.325555
2025-10-27,0.011012,1162770.858335,BULL,0.998300,0.013765,1270603.285179,0.011798,1179436.715924
2025-10-28,-0.003366,1158857.013381,BULL,0.999200,-0.004207,1265257.278891,0.002656,1182569.316899
2025-10-29,-0.004766,1153334.088072,BULL,0.999300,-0.005957,1257719.764159,0.000480,1183137.343106
2025-10-30,-0.000866,1152335.720121,BULL,0.997200,-0.001082,1256358.854171,-0.010998,1170125.057162
2025-10-31,0.006761,1160127.074860,BULL,0.998900,0.008452,1266977.219702,0.003280,1173963.304898
2025-11-03,0.002158,1162630.932649,BULL,0.999100,0.002698,1270395.305152,0.001877,1176166.494396
2025-11-04,-0.006641,1154910.470069,BULL,0.995500,-0.008301,1259850.213908,-0.011854,1162224.691922
2025-11-05,0.001950,1157161.973578,BULL,0.998300,0.002437,1262920.318962,0.003465,1166252.351762
2025-11-06,-0.007761,1148181.043705,BULL,0.995400,-0.009701,1250668.146105,-0.010729,1153739.176695
2025-11-07,-0.001618,1146323.536556,BULL,0.998100,-0.002022,1248139.009872,0.000985,1154875.124055
2025-11-10,0.007452,1154866.430056,BULL,0.996900,0.009316,1259766.092340,0.015604,1172896.167814
2025-11-11,0.002964,1158289.742110,BULL,0.999500,0.003705,1264433.918350,0.002289,1175581.239356
2025-11-12,-0.001626,1156406.332966,BULL,0.999600,-0.002033,1261863.915443,0.000556,1176235.304672
2025-11-13,-0.007697,1147506.008881,BULL,0.993400,-0.009621,1249723.937610,-0.016594,1156716.823230
2025-11-14,-0.001982,1145231.217407,BULL,0.999100,-0.002478,1246627.154961,-0.000164,1156527.516179
2025-11-17,-0.005735,1138663.775801,BULL,0.998600,-0.007168,1237691.021672,-0.009316,1145752.772345
2025-11-18,-0.005486,1132417.300252,BULL,0.998800,-0.006857,1229203.873327,-0.008398,1136131.309758
2025-11-19,0.004170,1137139.493164,BULL,0.999400,0.005213,1235611.115844,0.003863,1140520.354868
2025-11-20,-0.012791,1122594.772151,BULL,0.993800,-0.015988,1215855.822992,-0.015242,1123136.252647
2025-11-21,0.001324,1124080.808642,BULL,0.997400,0.001655,1217867.686674,0.009961,1134324.068248
2025-11-24,0.009958,1135274.585971,BULL,0.994100,0.012448,1233027.339338,0.014719,1151019.647488
2025-11-25,0.004981,1140929.933228,BULL,0.997200,0.006227,1240705.215100,0.009406,1161846.077819
2025-11-26,0.003902,1145381.511648,BULL,0.998200,0.004877,1246756.305969,0.006903,1169866.834781
2025-11-28,0.003092,1148923.011492,BULL,0.998400,0.003865,1251574.992165,0.005458,1176252.533505
2025-12-01,-0.006442,1141521.659253,BULL,0.998600,-0.008052,1241496.697886,-0.004565,1170882.390421
2025-12-02,0.003558,1145582.991682,BULL,0.998900,0.004447,1247017.980333,0.001852,1173051.122254
2025-12-03,0.005371,1151735.535672,BULL,0.998900,0.006713,1255389.627166,0.003463,1177113.134705
2025-12-04,-0.005892,1144949.893595,BULL,0.999200,-0.007365,1246144.205352,0.000731,1177973.735905
2025-12-05,0.001625,1146810.594491,BULL,0.999200,0.002031,1248675.649798,0.001899,1180211.278015
2025-12-08,-0.004067,1142145.976582,BULL,0.999300,-0.005084,1242326.961067,-0.003004,1176665.605273
